Date,Geography,Lbour_force_characteristics,Industry,Sex,Age,UOM,Scalar_factor,Valuee,Value
2018-01-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,10.9,89.1
2018-01-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.6,93.4
2018-01-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7.3,92.7
2018-01-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,13.8,86.2
2018-01-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.6,95.4
2018-01-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.2,94.8
2018-02-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,11,89
2018-02-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.3,93.7
2018-02-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,8,92
2018-02-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,10.9,89.1
2018-02-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5,95
2018-02-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5,95
2018-03-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,10.9,89.1
2018-03-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6.5,93.5
2018-03-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7.3,92.7
2018-03-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.8,88.2
2018-03-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,5.5,94.5
2018-03-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,5.6,94.4
2018-04-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,12,88
2018-04-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,6,94
2018-04-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,7.7,92.3
2018-04-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.7,93.3
2018-04-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.3,96.7
2018-04-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,2.6,97.4
2018-05-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,8.2,91.8
2018-05-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,4.3,95.7
2018-05-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,5.3,94.7
2018-05-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,11.1,88.9
2018-05-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.3,96.7
2018-05-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,2.1,97.9
2018-06-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,6.1,93.9
2018-06-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.4,96.6
2018-06-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.2,95.8
2018-06-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.9,93.1
2018-06-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.5,96.5
2018-06-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,2.8,97.2
2018-07-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,4.9,95.1
2018-07-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.5,96.5
2018-07-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.4,95.6
2018-07-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,5,95
2018-07-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.1,95.9
2018-07-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,2.6,97.4
2018-08-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,5.8,94.2
2018-08-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,3.4,96.6
2018-08-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3.7,96.3
2018-08-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,7.2,92.8
2018-08-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.3,95.7
2018-08-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.4,96.6
2018-09-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,6.9,93.1
2018-09-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,2.9,97.1
2018-09-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,3.4,96.6
2018-09-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,5.2,94.8
2018-09-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,4.2,95.8
2018-09-01,Canada,employment rate,Goods-producing sector,Females,55 years and over,Percentage,units,3.1,96.9
2018-10-01,Canada,employment rate,Goods-producing sector,Males,15 to 24 years,Percentage,units,7.8,92.2
2018-10-01,Canada,employment rate,Goods-producing sector,Males,25 to 54 years,Percentage,units,2.9,97.1
2018-10-01,Canada,employment rate,Goods-producing sector,Males,55 years and over,Percentage,units,4.3,95.7
2018-10-01,Canada,employment rate,Goods-producing sector,Females,15 to 24 years,Percentage,units,6.6,93.4
2018-10-01,Canada,employment rate,Goods-producing sector,Females,25 to 54 years,Percentage,units,3.9,96.1
